"","experiment","condition","random_id","exp_phase","trial_order","meaning","noun","case","marker","question","responses","whichPressed","isKa"
"1","Experiment 1","Alternating","19dum7moeleo","exposure",1,"sheep","daffin","singular","is_null",NA,NA,"is_null",0
"2","Experiment 1","Alternating","19dum7moeleo","exposure",2,"pig","mawg","plural","ka",NA,NA,"ka",1
"3","Experiment 1","Alternating","19dum7moeleo","exposure",3,"truck","geed","plural","po",NA,NA,"po",0
"4","Experiment 1","Alternating","19dum7moeleo","exposure",4,"wheelbarrow","clidam","plural","ka",NA,NA,"ka",1
"5","Experiment 1","Alternating","19dum7moeleo","exposure",5,"sheep","daffin","plural","po",NA,NA,"po",0
"6","Experiment 1","Alternating","19dum7moeleo","exposure",6,"truck","geed","plural","ka",NA,NA,"ka",1
"7","Experiment 1","Alternating","19dum7moeleo","exposure",7,"cow","spad","plural","po",NA,NA,"po",0
"8","Experiment 1","Alternating","19dum7moeleo","exposure",8,"truck","geed","plural","ka",NA,NA,"ka",1
"9","Experiment 1","Alternating","19dum7moeleo","exposure",9,"sheep","daffin","plural","ka",NA,NA,"ka",1
"10","Experiment 1","Alternating","19dum7moeleo","exposure",10,"wheelbarrow","clidam","plural","ka",NA,NA,"ka",1
"11","Experiment 1","Alternating","19dum7moeleo","exposure",11,"pig","mawg","plural","ka",NA,NA,"ka",1
"12","Experiment 1","Alternating","19dum7moeleo","exposure",12,"cow","spad","plural","po",NA,NA,"po",0
"13","Experiment 1","Alternating","19dum7moeleo","exposure",13,"sheep","daffin","plural","po",NA,NA,"po",0
"14","Experiment 1","Alternating","19dum7moeleo","exposure",14,"tractor","flugat","singular","is_null",NA,NA,"is_null",0
"15","Experiment 1","Alternating","19dum7moeleo","exposure",15,"pig","mawg","singular","is_null",NA,NA,"is_null",0
"16","Experiment 1","Alternating","19dum7moeleo","exposure",16,"tractor","flugat","plural","ka",NA,NA,"ka",1
"17","Experiment 1","Alternating","19dum7moeleo","exposure",17,"tractor","flugat","plural","po",NA,NA,"po",0
"18","Experiment 1","Alternating","19dum7moeleo","exposure",18,"sheep","daffin","plural","ka",NA,NA,"ka",1
"19","Experiment 1","Alternating","19dum7moeleo","exposure",19,"pig","mawg","plural","ka",NA,NA,"ka",1
